Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2017,04,10,17.0,1,N
IDCJAC0010,086338,2017,04,11,18.5,1,N
IDCJAC0010,086338,2017,04,12,19.3,1,N
IDCJAC0010,086338,2017,04,13,22.2,1,N
IDCJAC0010,086338,2017,04,14,17.9,1,N
IDCJAC0010,086338,2017,04,15,17.3,1,N
IDCJAC0010,086338,2017,04,16,22.6,1,N
IDCJAC0010,086338,2017,04,17,18.3,1,N
IDCJAC0010,086338,2017,04,18,20.4,1,N
IDCJAC0010,086338,2017,04,19,26.9,1,N
IDCJAC0010,086338,2017,04,20,26.5,1,N
IDCJAC0010,086338,2017,04,21,20.9,1,N
IDCJAC0010,086338,2017,04,22,22.5,1,N
IDCJAC0010,086338,2017,04,23,21.8,1,N
IDCJAC0010,086338,2017,04,24,24.7,1,N
IDCJAC0010,086338,2017,04,25,17.7,1,N
IDCJAC0010,086338,2017,04,26,14.5,1,N
IDCJAC0010,086338,2017,04,27,15.6,1,N
IDCJAC0010,086338,2017,04,28,19.8,1,N
IDCJAC0010,086338,2017,04,29,18.1,1,N
IDCJAC0010,086338,2017,04,30,17.8,1,N
IDCJAC0010,086338,2017,05,01,20.4,1,Y
IDCJAC0010,086338,2017,05,02,15.2,1,Y
IDCJAC0010,086338,2017,05,03,15.3,1,Y
IDCJAC0010,086338,2017,05,04,16.9,1,Y
IDCJAC0010,086338,2017,05,05,20.5,1,Y
IDCJAC0010,086338,2017,05,06,20.0,1,Y
IDCJAC0010,086338,2017,05,07,14.8,1,Y
IDCJAC0010,086338,2017,05,08,15.8,1,Y
IDCJAC0010,086338,2017,05,09,15.9,1,Y
IDCJAC0010,086338,2017,05,10,17.7,1,Y
IDCJAC0010,086338,2017,05,11,16.5,1,Y
IDCJAC0010,086338,2017,05,12,19.5,1,Y
IDCJAC0010,086338,2017,05,13,15.6,1,Y
IDCJAC0010,086338,2017,05,14,15.1,1,Y
IDCJAC0010,086338,2017,05,15,16.9,1,Y
IDCJAC0010,086338,2017,05,16,18.2,1,Y
IDCJAC0010,086338,2017,05,17,17.0,1,Y
IDCJAC0010,086338,2017,05,18,20.2,1,Y
IDCJAC0010,086338,2017,05,19,17.8,1,Y
IDCJAC0010,086338,2017,05,20,19.3,1,Y
IDCJAC0010,086338,2017,05,21,18.7,1,Y
IDCJAC0010,086338,2017,05,22,20.3,1,Y
IDCJAC0010,086338,2017,05,23,19.3,1,Y
IDCJAC0010,086338,2017,05,24,17.1,1,Y
IDCJAC0010,086338,2017,05,25,18.5,1,Y
IDCJAC0010,086338,2017,05,26,18.0,1,Y
IDCJAC0010,086338,2017,05,27,17.8,1,Y
IDCJAC0010,086338,2017,05,28,15.3,1,Y
IDCJAC0010,086338,2017,05,29,14.8,1,Y
IDCJAC0010,086338,2017,05,30,13.1,1,Y
IDCJAC0010,086338,2017,05,31,13.0,1,Y
IDCJAC0010,086338,2017,06,01,13.9,1,Y
IDCJAC0010,086338,2017,06,02,14.7,1,Y
IDCJAC0010,086338,2017,06,03,14.3,1,Y
IDCJAC0010,086338,2017,06,04,15.8,1,Y
IDCJAC0010,086338,2017,06,05,17.5,1,Y
IDCJAC0010,086338,2017,06,06,13.9,1,Y
IDCJAC0010,086338,2017,06,07,14.3,1,Y
IDCJAC0010,086338,2017,06,08,15.0,1,Y
IDCJAC0010,086338,2017,06,09,15.0,1,Y
IDCJAC0010,086338,2017,06,10,15.8,1,Y
IDCJAC0010,086338,2017,06,11,15.5,1,Y
IDCJAC0010,086338,2017,06,12,15.9,1,Y
IDCJAC0010,086338,2017,06,13,15.1,1,Y
IDCJAC0010,086338,2017,06,14,17.4,1,Y
IDCJAC0010,086338,2017,06,15,19.0,1,Y
IDCJAC0010,086338,2017,06,16,17.1,1,Y
IDCJAC0010,086338,2017,06,17,15.5,1,Y
IDCJAC0010,086338,2017,06,18,16.3,1,Y
IDCJAC0010,086338,2017,06,19,16.1,1,Y
IDCJAC0010,086338,2017,06,20,15.8,1,Y
IDCJAC0010,086338,2017,06,21,13.5,1,Y
